subject_id,subject_name,teacher,room,FRI_4-FRI_5,TUE_8-TUE_9,THU_8-THU_9
เสรีม.ต้น,,,,,,
ค 20211,คณิตศาสตร์การประกอบอาหาร,T005,,1.0,,
ง 20204,การปรุงอาหารและการตกแต่ง,T001,,1.0,,
ว 20202,พลังงานทดแทนกับการใช้ประโยชน์,T022,,1.0,,
ว 20213,หุ่นยนต์เบื้องต้น,T019,,1.0,,
ว 20205,เคมีกับความงาม,T011,,1.0,,
ว 20211,ศิลปะแห่งภาพวาดทางวิทยาศาตร์,T015,,1.0,,
ว 20215,วิทยาศาสตร์ในภาพยนตร์,T026,,1.0,,
จ 20201,ภาษาจีน 1,E005,,1.0,,
ญ 20201,ภาษาญี่ปุ่น 1,E007,,1.0,,
ท 20201,การเขียนภาษาไทย,T037,,1.0,,
ท 20203,ภาษาไทยในทำนอง,T036,,1.0,,
ฝ 20201,ภาษาฝรั่งเศส 1,E006,,1.0,,
อ 20202,ภาษาอังกฤษเพื่อการท่องเที่ยว,T030,,1.0,,
พ 20210,วอลเลย์บอล,T050,,1.0,,
พ 20206,แบดมินตัน,T048,,1.0,,
พ 20207,บาสเกตบอล,E004,,1.0,,
พ 20213,จานร่อน,T049,,1.0,,
ศ 20204,ดนตรีไทยปฏิบัติ,T042,,1.0,,
ศ 20206,การเขียนภาพประกอบ,T023,,1.0,,
ศ 20211,ศิลปะเครื่องปั้นดินเผาและเซรามิก,T041,,1.0,,
เสรีม.ปลาย,,,,,,
ว 30285,หุ่นยนต์และการควบคุม,T019,,,1.0,
ว 30286,การเขียนโปรแกรมสำหรับอุปกรณ์พกพา,T022,,,,1.0
ว 30224,เคมีวิเคราะห์,T012,,,1.0,
ท 30206,การใช้ภาษาไทยในสื่ออินเทอร์เน็ต,T037,,,,1.0
ท 30207,ภาษาไทยในเพลงพื้นบ้าน,T036,,,1.0,
อ 30205,ภาษาอังกฤษในชีวิตประจำวัน,T033,,,,1.0
พ 30211,แบดมินตัน,T048,,,,1.0
พ 30212,บาสเกตบอล,E004,,,1.0,
พ 30217,เทเบิลเทนนิส,T050,,,,1.0
พ 30222,ลีลาศ,T049,,,1.0,
ศ 30202,ดนตรีไทย,T042,,,1.0,1.0
ส 30221,จิตวิทยาพื้นฐาน,T023,,,,1.0
ส 30226,การสื่อสารในสังคมและรู้เท่าทันสื่อ,T024,,,1.0,
