subject_id,subject_name,periods_per_week,teacher,block_pattern,student_class,constraint,room,fixed_period
ม.1,,,,,,,,
ท21102,ภาษาไทย2,3.0,T033,1-2,"[1, 2, 3, 4]",,,
ว21103,วิทยาศาสตร์2,3.0,T023,2-1,"[1, 2]",,,
,,3.0,T024,2-1,"[3, 4]",,,
ส21103,สังคมศึกษา2,2.0,T044,2,"[1, 2, 3, 4]",,,
ส21104,ศาสนา1,2.0,T043,2,"[1, 2, 3, 4]",,,
พ21102,สุขศึกษาและพลศึกษา2,2.0,T048,2,"[1, 2, 3, 4]",,,
ศ21102,ศิลปนาฏดุริยางค์2,2.0,T039,2,"[1, 2, 3, 4]",,C108-109,
อ21102,ภาษาอังกฤษพื้นฐาน2,3.0,T031,2-1,"[1, 2, 3, 4]",,,
ค21201,คณิตศาสตร์เพิ่มเติม1,3.0,"['T005', 'T010']",2-1,"[1, 2, 3, 4]",ครูภฤศรินทร์สอน 2 คาบก่อนแล้วครู Coulter สอน 1 คาบทุกห้อง,,
ค21202,คณิตศาสตร์เพิ่มเติม2,2.0,T006,2,"[1, 2, 3, 4]",,,
ว21202,เส้นทางการเป็นนักวิทยาศาสตร์และนวัตกร,2.0,"['T016', 'T011']",2,"[1, 2]",type=TEAM,,
,,2.0,"['T016', 'T012']",2,"[3, 4]",,,
อ21201,ภาษาอังกฤษเพื่อการสื่อสาร1,2.0,T032,2,"[1, 2, 3, 4]",,,
,กิจกรรมแนะแนว,1.0,T038,1,"[1, 2, 3, 4]",,,
,EFF1,1.0,T010,1,"[1, 2, 3, 4]",,,
ม.2,,,,,,,,
ท22102,ภาษาไทย4,3.0,T035,2-1,"[1, 2, 3, 4]",,,
ว22102,วิทยาศาสตร์4,3.0,T019,2-1,"[1, 2, 3, 4]",,,
ส22103,สังคมศึกษา4,2.0,T045,2,"[1, 2, 3, 4]",,,
ส22104,ประวัติศาสตร์,2.0,T046,2,"[1, 2, 3, 4]",,,
พ22102,สุขศึกษาและพลศึกษา ,2.0,E007,2,"[1, 2, 3, 4]",,นอกสถานที่,
ศ22102,ศิลปนาฏดุริยางค์4,2.0,T041,2,"[1, 2, 3, 4]",,D323,
ง22101,เศรษฐกิจพอเพียง,2.0,T001,2,"[1, 2, 3, 4]",,,
อ22102,ภาษาอังกฤษระดับกลาง2,3.0,T032,2-1,"[1, 2, 3, 4]",,,
ค22201,คณิตศาสตร์เพิ่มเติม3,3.0,T009,2-1,"[1, 2, 3, 4]",,,
ค22202,คณิตศาสตร์เพิ่มเติม4,2.0,T008,2,"[1, 2, 3, 4]",,,
ว22202,โครงงานและนวัตกรรม2,2.0,T021,2,[1],แต่ละห้องห้ามเรียนพร้อมกัน,,
,,2.0,T026,2,[2],,,
,,2.0,T018,2,[3],,,
,,2.0,T006,2,[4],,,
ว22203,ระบบสมองกลฝังตัวเบื้องต้น,2.0,T014,2,"[1, 2, 3, 4]",,,
อ22202,ภาษาอังกฤษเพื่อการอภิปรายกลุ่ม,1.0,T028,1,"[1, 2, 3, 4]",,,
+,กิจกรรมแนะแนว,1.0,T038,1,"[1, 2, 3, 4]",,,
+,EFF2,1.0,E001,1,"[1, 2, 3, 4]",,,
+ม.3,,,,,,,,
+ท23102,ภาษาในวรรณคดีไทย2,3.0,T034,2-1,"[1, 2, 3, 4]",,,
+ว23102,วิทยาศาสตร์6,3.0,T017,2-1,"[1, 2, 3, 4]",,,
+ว23103,วิทยาการคำนวณ3,2.0,T012,2,"[1, 2, 3, 4]",,"['D203', 'D204']",
+ส23104,สังคมศึกษา6,2.0,T046,2,"[1, 2, 3, 4]",,,
+ส23104,ประวัติศาสตร์3,2.0,T045,2,"[1, 2, 3, 4]",,,
