subject_id,subject_name,teacher,room,FRI_2-FRI_3,FRI_4-FRI_5,MON_5-MON_6,TUE_5-TUE_6,TUE_8-TUE_9,WED_5-WED_6,WED_8-WED_9,THU_5-THU_6
nan,nan,,,,,,,,,,
ค20213,คณิตศาสตร์ในชีวิตประจำวัน,T009,C103,,1.0,,,,,,
ค20202,คณิตศิลป์,T004,C106,1.0,,,,,,,
ว20220,โครงสร้างข้อมูลและอัลกอริทึม,T011,D204,1.0,,,,,,,
ว20219,การออกแบบฐานข้อมูล,T011,D204,1.0,,,,,,,
ว20221,การออกแบบเนื้อหาดิจิทัล,T012,D203,,1.0,,,,,,
ว20208,พื้นฐานชีวเคมีทางการแพทย์,T018,D201,,1.0,,,,,,
ว20205,เคมีกับความงาม,T015,C104,1.0,,,,,,,
ว20203,วิทยาศาสตร์และคณิตศาสตร์กับภูมิปัญญาท้องถิ่น,T015,C104,1.0,,,,,,,
ว20216,กลศาสตร์นิวตัน (รับเฉพาะม.2 และ ม.3),T024,C107,,1.0,,,,,,
ว20211,ศิลปะแห่งภาพวาดทางวิทยาศาสตร์,T021,C106,1.0,,,,,,,
ว20206,โรคจากปรสิตและการป้องกัน,T019,D202,1.0,,,,,,,
ว20214,ธรณีกาลและบรรพชีวิน,T023,C212,1.0,,,,,,,
ท20203,ภาษาไทยในทำนอง,T033,C217,1.0,,,,,,,
ฝ20202,ภาษาฝรั่งเศส 2,E011,C213,,1.0,,,,,,
อ20204,ร้อยกรองภาษาอังกฤษ,T030,C212,1.0,,,,,,,
ญ20201,ภาษาญี่ปุ่น 1,E008,C218,,1.0,,,,,,
จ20202,ภาษาจีน 2,E010,D205,,1.0,,,,,,
พ20201,การดูแลสุขภาพองค์รวม,T048,D206,1.0,,,,,,,
พ20203,หัวข้อกีฬาเลือกสรรที่น่าสนใจ,T047,D316,,1.0,,,,,,
พ20207,กีฬาบาสเกตบอล,E006,นอกสถานที่,1.0,,,,,,,
พ20210,วอลเลย์บอล,E009,นอกสถานที่,1.0,,,,,,,
ส20206,อเมริกันศึกษา,T042,C217,1.0,,,,,,,
ศ20205,ดนตรีและการขับร้อง,T041,D323,,1.0,,,,,,
ส20212,พลเมืองโลกแห่งอนาคต,T038,D202,1.0,,,,,,,
ส20212,พลเมืองโลกแห่งอนาคต,T037,D206,1.0,,,,,,,
nan,nan,,,,,,,,,,
ค30201,ตัวแบบเชิงคณิตศาสตร์เบื้องต้น,T007,B217,,,,,,1.0,,
ค30205,การวิเคราะห์เชิงตัวเลขเบื้องต้น,T005,B217,,,,1.0,,,,
ค30209,ทฤษฎีเกมเบื้องต้น,T002,B217,,,,,,,,1.0
ว30289,อินเทอร์เน็ตของสรรพสิ่ง,T014,D204,,,1.0,,,,,
ว30285,หุ่นยนต์และการควบคุม,T013,D204,,,,,1.0,,,1.0
ว30286,การเขียนโปรแกรมสำหรับอุปกรณ์พกพา,T011,D204,,,,,,,1.0,
ว30224,เคมีวิเคราะห์,T017,D201,,,1.0,,,,,
ว30211,ฟิสิกส์ในภาพยนตร์วิทยาศาสตร์,T024,D201,,,,,1.0,,,
ว30249,วิทยาศาสตร์และเทคโนโลยีทางอาหาร,T021,D201,,,,1.0,,,,
ว30201,หัวข้อพิเศษทางฟิสิกส์,T023,D201,,,,,,,1.0,
ท30203,ภาษาไทยในทำนอง,T033,D201,,,,,,,,1.0
อ30202,วัฒนธรรมภาษาอังกฤษในสื่อต่างประเทศ,E012,D206,,,,,,,,1.0
จ30201,ภาษาจีนเพื่อการสื่อสาร,E010,B217,,,,,,,1.0,
ฝ30201,ภาษาฝรั่งเศสเพื่อการสื่อสาร,E011,B217,,,,,1.0,,,
พ30201,หัวข้อเลือกสรรทางการกีฬาที่สนใจ,T047,D316,,,,,,,1.0,
พ30204,โภชนาการและสุขภาพ,T048,D202,,,,,,1.0,,
พ30201,หัวข้อเลือกสรรทางการกีฬาที่สนใจ,E006,D316,,,,,,1.0,,
ส30222,ความสัมพันธ์ระหว่างประเทศเบื้องต้น,T042,D205,,,1.0,,,,,
ส30201,ปรัชญาพื้นฐาน,T042,D206,,,,1.0,,,,
ส30243,ผู้ประกอบการเพื่อสังคม,T044,D206,,,,,1.0,,,
ศ30202,ดนตรีไทย,T040,D322,,,,,,1.0,,
ส30202,คุณธรรมพื้นฐานในทักษะการดํารงชีวิต,T037,D205,,,,,,,1.0,
ส30221,จิตวิทยาพื้นฐาน,T038,D202,,,,1.0,,,,
ศ30205,ดนตรีและคีตศิลป์สากล,T041,D323,,,1.0,,,,,1.0
