room_id,ชื่อห้อง,ชั้นเรียนประจำ,ประเภท
A316,,,exclude
B101-102,,,เคมี
B103,,3/1,homeroom
B104,,3/2,homeroom
B106,,3/3,homeroom
B107,,3/4,homeroom
B108-109,,,ชีววิทยา
B210-211,,,ฟิสิกส์
B212,,,
B213,,,
B215-216,,,คณิต
B217,,,
B218,,,
C101-102,,,สังคม
C103,,1/1,homeroom
C104,,1/2,homeroom
C106,,1/3,homeroom
C107,,1/4,homeroom
C108-109,ศิลปะ,,exclude
C210-211,,,อังกฤษ
C212,,2/1,homeroom
C213,,2/2,homeroom
C215-216,,,ไทย
C217,,2/3,homeroom
C218,,2/4,homeroom
D201,,,
D202,,,
D203,COM1,,COM
D204,COM2,,COM
D205,,,
D206,,,
D316,ยิม,,exclude
D323,ดนตรีสากล,,exclude
D324,นาฎศิลป์,,exclude
งานช่าง,งานช่าง,,exclude
นอกสถานที่,OUT,,exclude
สถานกีฬา,สถานกีฬา,,exclude
ปิงปอง,ปิงปอง,,exclude
