"นักเรียน","grade","section","default_room","curriculum"
"1/1","ม.1","1","C103",""
"1/2","ม.1","2","C104",""
"1/3","ม.1","3","C106",""
"1/4","ม.1","4","C107",""
"2/1","ม.2","1","C212",""
"2/2","ม.2","2","C213",""
"2/3","ม.2","3","C217",""
"2/4","ม.2","4","C218",""
"3/1","ม.3","1","B103",""
"3/2","ม.3","2","B104",""
"3/3","ม.3","3","B106",""
"3/4","ม.3","4","B107",""
"4/1","ม.4","1","",""
"4/2","ม.4","2","",""
"4/3","ม.4","3","",""
"4/4","ม.4","4","","วมว"
"4/5","ม.4","5","","วมว"
"5/1","ม.5","1","",""
"5/2","ม.5","2","",""
"5/3","ม.5","3","",""
"5/4","ม.5","4","","วมว"
"5/5","ม.5","5","","วมว"
"6/1","ม.6","1","",""
"6/2","ม.6","2","",""
"6/3","ม.6","3","",""
"6/4","ม.6","4","","วมว"
"6/5","ม.6","5","","วมว"
